地区	指标	地区名	指标名	2009	2010	2011	2012	2013	2014	2015	2016	2017
450000	A070703	广西壮族自治区	单位工业增加值能耗(规模以上当量值)	2.235	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
450000	A070704	广西壮族自治区	单位工业增加值能耗(规模以上当量值)_同比增长	-6.68	na_rep	-6.13	na_rep	na_rep	na_rep	-12.3	na_rep	na_rep
450000	A070705	广西壮族自治区	单位地区生产总值电耗(等价值)	1279.87	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
450000	A070706	广西壮族自治区	单位地区生产总值电耗(等价值)_同比增长	-2.0	na_rep	-0.28	na_rep	na_rep	na_rep	-5.62	na_rep	na_rep
460000	A070609	海南省	电力消费量	133.7675	159.02	185.2811	210.3	232.0	251.88	272.356088	287.31178900000003	304.8278
460000	A070701	海南省	单位地区生产总值能耗(等价值)	0.85	0.8079999999999999	0.6920000000000001	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
460000	A070702	海南省	单位地区生产总值能耗(等价值)_同比增长	-2.81	na_rep	5.23	na_rep	na_rep	na_rep	-1.27	na_rep	na_rep
460000	A070703	海南省	单位工业增加值能耗(规模以上当量值)	2.613	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
460000	A070704	海南省	单位工业增加值能耗(规模以上当量值)_同比增长	-4.53	na_rep	12.53	na_rep	na_rep	na_rep	-0.56	na_rep	na_rep
460000	A070705	海南省	单位地区生产总值电耗(等价值)	922.89	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
460000	A070706	海南省	单位地区生产总值电耗(等价值)_同比增长	-2.61	na_rep	3.94	na_rep	na_rep	na_rep	0.31	na_rep	na_rep
500000	A070609	重庆市	电力消费量	533.7976	626.44	717.0331	723.5	813.3	867.24	875.3737256000001	924.894756	992.6489999999999
500000	A070701	重庆市	单位地区生产总值能耗(等价值)	1.181	1.127	0.953	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
500000	A070702	重庆市	单位地区生产总值能耗(等价值)_同比增长	-5.5	na_rep	-3.81	na_rep	na_rep	na_rep	-6.31	na_rep	na_rep
500000	A070703	重庆市	单位工业增加值能耗(规模以上当量值)	1.854	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
500000	A070704	重庆市	单位工业增加值能耗(规模以上当量值)_同比增长	-11.95	na_rep	-5.31	na_rep	na_rep	na_rep	-8.36	na_rep	na_rep
500000	A070705	重庆市	单位地区生产总值电耗(等价值)	894.27	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
500000	A070706	重庆市	单位地区生产总值电耗(等价值)_同比增长	-4.69	na_rep	-1.63	na_rep	na_rep	na_rep	-9.06	na_rep	na_rep
